"No.","Time","Source","Destination","Protocol","Length","Info"
"16812","17.964831","10.100.102.1","10.100.102.6","DNS","169","Standard query response 0x4653 A stats.g.doubleclick.net CNAME stats.l.doubleclick.net A 108.177.15.156 A 108.177.15.157 A 108.177.15.155 A 108.177.15.154"
"16857","17.992065","10.100.102.6","10.100.102.1","DNS","81","Standard query 0x6e8b A nr-events.taboola.com"
"16862","17.996527","10.100.102.6","10.100.102.1","DNS","82","Standard query 0xf85c A trc-events.taboola.com"
"16874","17.998272","10.100.102.6","10.100.102.1","DNS","82","Standard query 0x228c A totalmedia2.ynet.co.il"
"16877","18.000113","10.100.102.6","10.100.102.1","DNS","78","Standard query 0x412d A cdn.flowplayer.com"
"16879","18.025426","10.100.102.6","10.100.102.1","DNS","81","Standard query 0x6e8b A nr-events.taboola.com"
"16880","18.029425","10.100.102.1","10.100.102.6","DNS","275","Standard query response 0x6e8b A nr-events.taboola.com CNAME tls13.taboola.map.fastly.net A 199.232.137.44 NS ns4.fastly.net NS ns3.fastly.net NS ns1.fastly.net NS ns2.fastly.net A 23.235.32.32 A 104.156.80.32 A 23.235.36.32 A 104.156.84.32"
"16882","18.029425","10.100.102.1","10.100.102.6","DNS","481","Standard query response 0xf85c A trc-events.taboola.com CNAME am-trc-events.taboola.com CNAME am-vip001.taboola.com A 141.226.228.48 NS dns2.p05.nsone.net NS dns1.p05.nsone.net NS ns01.dnsfaster.com NS dns4.p05.nsone.net NS ns03.dnsfaster.com NS dns3.p05.nsone.net NS ns02.dnsfaster.com NS ns04.dnsfaster.com A 198.51.44.5 A 198.51.45.5 A 198.51.44.69 A 198.51.45.69 A 45.54.46.1 A 45.54.46.65 A 45.54.46.129 A 45.54.46.193 AAAA 2a00:edc0:6259:7:5::4"
"16883","18.029425","10.100.102.1","10.100.102.6","DNS","483","Standard query response 0x228c A totalmedia2.ynet.co.il CNAME totalmedia2.ynet.co.il-v1.edgekey.net CNAME e12476.b.akamaiedge.net A 95.101.160.206 NS n3b.akamaiedge.net NS n0b.akamaiedge.net NS n7b.akamaiedge.net NS n6b.akamaiedge.net NS n5b.akamaiedge.net NS n4b.akamaiedge.net NS n1b.akamaiedge.net NS n2b.akamaiedge.net A 88.221.81.192 A 2.16.219.132 A 2.16.219.139 A 2.16.216.228 A 2.16.216.230 A 2.16.216.229 A 195.10.9.94 A 23.200.87.241 AAAA 2a02:26f0:5c:f000:f27:1be6:d9bc:19e2"
"16884","18.029425","10.100.102.1","10.100.102.6","DNS","327","Standard query response 0x412d A cdn.flowplayer.com A 13.225.255.54 A 13.225.255.5 A 13.225.255.43 A 13.225.255.9 NS ns-1581.awsdns-05.co.uk NS ns-239.awsdns-29.com NS ns-581.awsdns-08.net NS ns-1348.awsdns-40.org A 205.251.192.239 A 205.251.194.69 A 205.251.197.68"
