No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,Num of packets
45434,31.247582,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8216358 Win=2145024 Len=0,,,,,,,
45441,31.261753,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23222546 Win=7911 Len=0,,,,,,,
45442,31.262029,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23225406 Win=7911 Len=0,,,,,,,
45443,31.265585,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23227900 Win=7911 Len=0,,,,,,,
45446,31.265585,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23230760 Win=7914 Len=0,,,,,,,
45448,31.265585,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23235050 Win=7915 Len=0,,,,,,,
45449,31.265585,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23236114 Win=7915 Len=0,,,,,,,
45450,31.265585,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23238974 Win=7911 Len=0,,,,,,,
45451,31.265585,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23241834 Win=7911 Len=0,,,,,,,
45452,31.265585,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23244328 Win=7915 Len=0,,,,,,,
45453,31.265585,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8226002 Win=2141184 Len=0,,,,,,,
45454,31.265585,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8227066 Win=2145280 Len=0,,,,,,,
45458,31.266203,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23250048 Win=7903 Len=0,,,,,,,
45459,31.266203,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23255402 Win=7911 Len=0,,,,,,,
45460,31.266203,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23252542 Win=7911 Len=0,,,,,,,
45463,31.266553,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23265046 Win=7900 Len=0,,,,,,,
45464,31.266553,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23258262 Win=7914 Len=0,,,,,,,
45465,31.266553,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23262186 Win=7908 Len=0,,,,,,,
45466,31.266553,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23267906 Win=7911 Len=0,,,,,,,
45474,31.271475,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23268970 Win=7915 Len=0,,,,,,,
45475,31.271475,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8229926 Win=2145280 Len=0,,,,,,,
45476,31.271475,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8235280 Win=2145280 Len=0,,,,,,,
45477,31.27174,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23277184 Win=7896 Len=0,,,,,,,
45486,31.311684,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23280044 Win=7914 Len=0,,,,,,,
45487,31.311684,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23284334 Win=7915 Len=0,,,,,,,
45488,31.311913,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23285398 Win=7915 Len=0,,,,,,,
